t_ms,node_1_x,node_1_y,node_1_light
35,90.4,90.4,0
75,90.4,90.4,0
116,90.4,90.4,0
156,90.4,90.4,0
196,90.4,90.4,0
237,90.4,90.4,0
277,90.4,90.4,0
318,90.4,90.4,0
358,90.4,90.4,0
399,90.4,90.4,0
439,90.4,90.4,0
480,90.4,90.4,1
521,90.4,90.4,1
561,90.4,90.4,1
602,90.4,90.4,1
642,90.4,90.4,1
682,90.4,90.4,1
723,90.4,90.4,1
763,90.4,90.4,0
805,90.4,90.4,0
846,90.4,90.4,0
886,90.4,90.4,0
927,90.4,90.4,0
967,90.4,90.4,0
1008,90.4,90.4,0
1048,90.4,90.4,1
1090,90.4,90.4,1
1130,90.4,90.4,1
1171,90.4,90.4,1
1211,89.6,90.4,1
1252,87.5,90.4,1
1293,84.0,90.4,0
1335,80.5,90.4,0
1376,75.5,90.4,0
1417,66.4,90.4,0
1458,62.1,90.4,0
1499,57.2,90.4,0
1541,51.5,89.6,0
1582,49.4,93.2,1
1623,47.3,100.2,1
1664,47.3,108.0,1
1705,48.0,115.8,1
1747,48.0,122.8,1
1788,48.0,129.9,1
1829,48.0,136.2,1
1870,48.7,141.9,1
1911,48.7,146.1,0
1952,49.4,150.4,0
1993,50.8,156.7,0
2034,55.1,163.1,0
2075,64.2,168.0,0
2116,79.1,173.6,0
2157,90.4,175.8,0
2198,90.4,176.5,1
2239,90.4,176.5,1
2279,91.1,175.1,1
2320,93.2,174.4,1
2361,96.7,173.6,1
2402,100.2,172.2,1
2443,107.3,171.5,1
2484,114.4,171.5,1
2525,119.3,170.8,1
2566,129.9,170.1,1
2607,139.1,166.6,1
2648,144.7,162.4,1
2689,155.3,148.9,1
2730,161.6,141.9,1
2771,166.6,134.1,1
2812,169.4,125.6,1
2853,170.8,118.6,1
2894,172.9,109.4,1
2935,175.1,103.1,1
2976,175.8,96.0,1
3017,175.8,90.4,1
3058,175.8,90.4,1
3099,175.8,90.4,1
3139,175.8,90.4,1
3180,175.1,89.6,1
3221,172.9,82.6,1
3262,169.4,72.7,1
3303,160.9,62.8,1
3344,148.2,52.9,1
3385,136.9,45.9,1
3426,125.6,39.5,1
3467,113.6,33.9,1
3508,103.8,31.1,1
3549,94.6,28.9,1
3591,91.1,27.5,1
3632,90.4,27.5,1
3673,90.4,27.5,1
3714,90.4,27.5,1
3754,90.4,27.5,1
3795,90.4,27.5,1
3835,90.4,26.8,1
3876,93.9,22.6,1
3917,100.2,15.5,1
3958,104.5,9.2,1
3999,107.3,1.4,1
4040,110.8,0.0,1
4081,117.9,0.0,1
4122,127.8,0.0,1
4163,138.4,0.0,1
4204,148.9,0.0,1
4245,160.2,0.0,1
4286,169.4,1.4,1
4327,179.3,10.6,1
4368,180.0,20.5,1
4409,180.0,36.0,1
4450,180.0,41.6,1
4491,180.0,51.5,1
4532,180.0,59.3,1
4574,180.0,67.8,1
4617,180.0,76.9,1
4658,180.0,90.4,1
4699,180.0,90.4,0
4741,180.0,89.6,0
4782,180.0,92.5,0
4823,180.0,98.1,0
4864,180.0,104.5,0
4905,176.5,114.4,0
4946,172.2,122.8,0
4987,168.7,129.9,0
5028,164.5,136.2,0
5070,160.9,141.2,0
5111,156.7,146.1,1
5152,149.6,151.1,1
5193,143.3,156.7,1
5234,136.2,161.6,1
5275,126.4,162.4,1
5316,113.6,163.1,1
5357,97.4,163.8,1
5398,90.4,161.6,1
5440,90.4,158.1,1
5481,90.4,156.7,1
5522,90.4,156.0,1
5563,84.0,153.2,1
5604,68.5,151.1,1
5645,52.9,148.9,1
5686,40.2,144.7,1
5727,28.2,138.4,1
5768,16.2,129.2,1
5810,3.5,120.0,1
5851,0.0,113.6,1
5892,0.0,105.2,1
5933,0.0,95.3,1
5974,0.0,90.4,1
6015,0.0,88.9,1
6056,0.0,75.5,1
6097,0.0,60.7,1
6138,0.0,51.5,1
6179,1.4,43.1,1
6220,9.2,35.3,1
6261,16.2,28.9,0
6302,26.8,25.4,0
6343,32.5,22.6,0
6384,43.8,16.9,0
6425,63.5,2.8,0
6467,78.4,0.0,0
6508,89.6,0.0,0
6550,90.4,0.0,0
6591,90.4,0.0,0
6632,91.8,0.0,0
6673,96.0,0.0,0
6714,109.4,0.0,0
6755,125.6,9.9,0
6796,139.8,23.3,0
6837,151.8,39.5,0
6878,160.9,54.4,1
6920,163.8,72.7,1
6961,163.1,88.2,1
7002,160.9,90.4,1
7043,157.4,93.2,1
7084,149.6,103.8,1
7125,139.8,116.5,0
7166,129.9,126.4,0
7207,119.3,135.5,0
7248,108.0,141.2,0
7289,94.6,144.0,0
7330,90.4,148.9,1
7371,90.4,149.6,1
7412,88.2,142.6,1
7453,84.0,128.5,1
7494,65.6,105.2,0
7535,54.4,90.4,0
7577,53.6,80.5,0
7618,58.6,57.9,0
7659,74.8,42.4,0
