t_ms,node_1,node_2,node_3,node_4
7,135.5,123.9,135.0,135.0
48,135.5,123.9,135.0,135.0
88,135.5,123.9,135.0,135.0
310,135.5,123.9,135.0,135.0
350,135.5,123.9,135.0,270.0
391,135.5,123.9,135.0,270.0
431,135.5,123.9,135.0,270.0
472,135.5,123.9,135.0,270.0
512,135.5,123.9,135.0,270.0
552,135.5,123.9,135.0,270.0
593,135.5,123.9,135.0,270.0
633,135.5,123.9,135.0,270.0
673,135.5,123.9,135.0,270.0
713,135.5,123.9,135.0,270.0
753,135.5,123.9,135.0,270.0
794,135.5,123.9,135.0,270.0
834,135.5,123.9,135.0,270.0
874,135.5,123.9,135.0,270.0
915,135.5,123.9,135.0,270.0
955,135.5,123.9,135.0,216.8
995,135.5,123.9,135.0,138.2
1036,135.5,123.9,135.0,135.0
1076,135.5,123.9,135.0,135.0
1117,135.5,123.9,135.0,124.2
1157,135.5,123.9,135.0,103.4
1198,135.5,123.9,135.0,71.8
1238,135.5,123.9,135.0,54.7
1279,135.5,123.9,135.0,17.9
1320,135.5,123.9,135.0,0.0
1360,135.5,123.9,135.0,0.0
1400,135.5,123.9,135.0,0.0
1441,135.5,123.9,135.0,0.0
1481,135.5,123.9,135.0,0.0
1521,135.5,123.9,135.0,0.0
1562,135.5,123.9,135.0,0.0
1780,135.5,123.9,135.0,0.0
1820,135.5,123.9,135.0,0.0
1861,135.5,123.9,135.0,0.0
1901,135.5,123.9,135.0,0.0
1941,135.5,123.9,135.0,0.0
1982,135.5,123.9,135.0,0.0
2022,135.5,123.9,135.0,19.5
2063,135.5,123.9,135.0,155.7
2103,135.5,123.9,135.0,243.1
2144,135.5,123.9,135.0,267.1
2184,135.5,123.9,135.0,268.6
2225,135.5,123.9,135.0,269.4
2266,135.5,123.9,135.0,270.0
2306,135.5,123.9,135.0,270.0
2346,135.5,123.9,135.0,270.0
2387,135.5,123.9,135.0,270.0
2427,135.5,123.9,135.0,270.0
2467,135.5,123.9,135.0,270.0
2508,135.5,123.9,135.0,270.0
2548,135.5,123.9,135.0,270.0
2589,135.5,123.9,135.0,270.0
2629,135.5,123.9,135.0,270.0
2669,135.5,123.9,135.0,270.0
2710,135.5,123.9,135.0,270.0
2750,135.5,123.9,135.0,270.0
2790,135.5,123.9,135.0,270.0
2831,135.5,123.9,135.0,270.0
2871,135.5,123.9,135.0,270.0
2911,135.5,123.9,135.0,270.0
3130,135.5,123.9,135.0,270.0
3170,135.5,123.9,135.0,123.6
3211,135.5,123.9,135.0,83.0
3252,135.5,123.9,135.0,13.3
3293,135.5,123.9,135.0,0.0
3333,135.5,123.9,135.0,0.0
3373,135.5,123.9,135.0,0.0
3414,135.5,123.9,135.0,0.0
3454,135.5,123.9,135.0,0.0
3494,135.5,123.9,135.0,0.0
3534,135.5,123.9,135.0,0.0
3575,135.5,123.9,135.0,0.0
3615,135.5,123.9,135.0,0.0
3655,135.5,123.9,135.0,0.0
3695,135.5,123.9,135.0,0.0
3736,135.5,123.9,135.0,0.0
3776,135.5,123.9,135.0,0.0
3816,135.5,123.9,135.0,0.0
3857,135.5,123.9,135.0,0.0
3897,135.5,123.9,135.0,0.0
3937,135.5,123.9,135.0,0.0
3978,135.5,123.9,135.0,0.0
4018,135.5,123.9,135.0,0.0
4058,135.5,123.9,135.0,0.0
4099,135.5,123.9,135.0,55.4
4139,135.5,123.9,135.0,134.1
4180,135.5,123.9,135.0,135.0
4221,135.5,123.9,135.0,145.8
4261,135.5,123.9,135.0,197.7
4302,135.5,123.9,135.0,249.0
4343,135.5,123.9,135.0,270.0
4383,135.5,123.9,135.0,270.0
4423,135.5,123.9,135.0,270.0
4464,135.5,123.9,135.0,169.2
4504,135.5,123.9,135.0,135.0
4545,135.5,123.9,135.0,135.0
4585,135.5,123.9,135.0,135.0
4625,135.5,123.9,135.0,135.0
4666,135.5,123.9,135.0,135.0
4706,135.5,123.9,135.0,135.0
4746,135.5,123.9,135.0,135.0
4787,135.5,123.9,135.0,135.0
4827,135.5,123.9,135.0,255.0
4867,135.5,123.9,135.0,270.0
4908,135.5,123.9,135.0,270.0
4948,135.5,123.9,135.0,270.0
5154,135.5,123.9,135.0,270.0
5194,135.5,123.9,135.0,270.0
5235,135.5,123.9,135.0,270.0
5275,135.5,123.9,135.0,270.0
5316,135.5,123.9,135.0,250.1
5356,135.5,123.9,135.0,144.6
5397,135.5,123.9,135.0,135.0
5437,135.5,123.9,135.0,135.0
5478,135.5,123.9,135.0,135.0
5518,135.5,123.9,135.0,135.0
5559,135.5,123.9,135.0,135.0
5599,135.5,123.9,135.0,128.4
5639,135.5,123.9,135.0,119.0
5680,135.5,123.9,135.0,109.6
5721,135.5,123.9,135.0,88.8
5761,135.5,123.9,135.0,42.5
5802,135.5,123.9,135.0,13.7
5842,135.5,123.9,135.0,0.0
5883,135.5,123.9,135.0,0.0
5923,135.5,123.9,135.0,0.0
5963,135.5,123.9,135.0,0.0
6004,135.5,123.9,135.0,135.0
6044,135.5,123.9,135.0,135.0
6085,135.5,123.9,135.0,136.4
6126,135.5,123.9,135.0,189.3
6166,135.5,123.9,135.0,237.2
6207,135.5,123.9,135.0,270.0
6405,135.5,123.9,135.0,270.0
6445,135.5,123.9,135.0,135.0
6486,135.5,123.9,135.0,135.0
6526,135.5,123.9,135.0,135.0
6567,135.5,123.9,135.0,135.0
