t_ms,node_1,node_2,node_3,node_4
32,135.5,134.5,135.0,135.0
73,135.5,134.5,135.0,135.0
114,135.5,134.5,135.0,135.0
155,135.5,134.5,135.0,135.0
196,135.5,134.5,135.0,135.0
237,135.5,134.5,135.0,135.0
278,135.5,134.5,135.0,135.0
319,135.5,134.5,135.0,135.0
360,135.5,134.5,135.0,135.0
401,135.5,134.5,135.0,135.0
442,135.5,134.5,135.0,135.0
482,135.5,134.5,135.0,135.0
523,135.5,134.5,135.0,135.0
564,135.5,134.5,135.0,135.0
606,135.5,134.5,135.0,135.0
646,135.5,134.5,135.0,135.0
686,135.5,134.5,135.0,135.0
727,135.5,134.5,135.0,135.0
767,135.5,134.5,135.0,135.0
808,135.5,134.5,135.0,135.0
849,135.5,134.5,135.0,135.0
890,135.5,134.5,135.0,135.0
931,135.5,134.5,135.0,135.0
972,135.5,134.5,135.0,135.0
1013,135.5,134.5,135.0,135.0
1054,135.5,134.5,135.0,135.0
1094,135.5,134.5,135.0,135.0
1135,135.5,134.5,135.0,135.0
1175,135.5,134.5,135.0,135.0
1216,135.5,134.5,135.0,135.0
1257,135.5,134.5,135.0,135.0
1298,135.5,134.5,135.0,135.0
1339,135.5,134.5,135.0,135.0
1379,135.5,134.5,135.0,135.0
1420,135.5,134.5,135.0,135.0
1461,135.5,134.5,135.0,135.0
1502,134.5,134.5,135.0,135.0
1544,134.5,134.5,135.0,135.0
1584,134.5,134.5,135.0,135.0
1625,134.5,134.5,135.0,135.0
1666,134.5,134.5,135.0,135.0
1707,134.5,134.5,135.0,135.0
1747,134.5,134.5,135.0,135.0
1788,134.5,134.5,142.4,135.0
1830,134.5,134.5,155.2,135.0
1871,129.2,134.5,158.1,135.0
1914,121.8,146.1,175.7,135.0
1957,116.5,148.2,181.6,135.0
2001,108.0,150.4,183.6,135.0
2044,108.0,152.5,185.4,135.0
2086,108.0,157.8,184.7,135.0
2128,118.6,167.3,185.0,135.0
2171,123.9,174.7,184.4,135.0
2215,129.2,177.9,183.9,135.0
2258,134.5,177.9,184.0,135.0
2300,135.5,182.1,184.2,135.0
2343,141.9,182.1,182.6,135.0
2385,148.2,185.3,182.1,135.0
2428,156.7,185.3,180.8,135.0
2470,165.2,187.4,178.1,135.0
2514,174.7,191.6,177.6,135.0
2557,185.3,202.2,175.5,135.0
2600,191.6,209.6,175.4,135.0
2644,200.1,213.9,175.7,135.0
2687,205.4,217.1,174.5,135.0
2730,216.0,202.2,174.0,135.0
2774,222.4,199.1,166.7,125.4
2819,228.7,191.6,158.0,103.6
2863,232.9,187.4,156.2,80.3
2907,240.4,182.1,154.5,66.3
2951,242.5,180.0,153.2,55.8
2995,246.7,172.6,151.1,53.3
3040,248.8,159.9,146.5,52.9
3085,250.9,150.4,142.2,40.5
3128,250.9,140.8,139.3,33.2
3171,250.9,135.5,135.0,27.0
3213,250.9,128.1,135.0,20.1
3255,242.5,115.4,135.0,16.7
3299,235.1,95.3,135.0,11.9
3342,224.5,83.6,135.0,2.8
3387,200.1,73.1,135.0,0.0
3430,189.5,61.4,133.8,0.0
3474,176.8,59.3,133.6,0.0
3516,163.1,70.9,133.1,0.0
3559,152.5,75.2,131.2,0.0
3602,137.6,79.4,130.0,0.0
3645,134.5,91.1,127.5,0.0
3691,129.2,105.9,121.5,0.0
3735,127.1,119.6,114.7,0.0
3779,123.9,130.2,108.0,0.0
3822,121.8,138.7,107.3,5.1
3865,121.8,142.9,114.7,13.1
3908,121.8,135.5,121.8,33.2
3953,132.4,148.2,129.4,46.5
3996,134.5,152.5,135.0,66.4
4040,134.5,155.6,136.0,88.1
4084,135.5,157.8,143.2,104.3
4128,137.6,157.8,151.7,116.7
4170,141.9,157.8,163.1,128.8
4213,146.1,159.9,173.4,135.0
4256,150.4,163.1,179.3,139.5
4299,156.7,165.2,192.1,144.9
4344,160.9,170.5,209.3,156.7
4388,170.5,174.7,220.6,162.5
4432,178.9,177.9,231.9,161.4
4477,187.4,170.5,232.3,161.1
4521,189.5,157.8,235.2,159.8
4563,193.8,155.6,239.8,159.8
4606,198.0,146.1,256.2,160.8
4651,203.3,134.5,256.7,162.4
4695,205.4,128.1,257.9,162.7
4739,191.6,119.6,258.4,162.4
4783,187.4,115.4,258.0,161.9
4826,181.1,101.6,258.7,161.1
4871,168.4,95.3,260.5,160.6
4914,148.2,103.8,261.3,157.3
4958,135.5,119.6,261.6,155.2
5003,134.5,135.5,263.3,148.5
5047,134.5,140.8,263.9,142.0
5090,134.5,140.8,263.9,136.3
5132,134.5,140.8,262.9,135.0
5175,144.0,135.5,258.4,135.0
5219,144.0,134.5,231.8,129.0
5261,135.5,134.5,173.7,101.3
5304,134.5,134.5,158.8,92.7
5347,134.5,134.5,144.7,82.1
5390,134.5,134.5,135.0,77.6
5432,134.5,134.5,135.0,68.4
5473,134.5,134.5,129.9,64.7
5515,134.5,134.5,109.4,61.8
5558,134.5,134.5,107.0,62.2
5601,134.5,134.5,98.9,61.8
5644,134.5,134.5,96.4,61.1
5686,134.5,134.5,96.6,62.0
5727,134.5,134.5,95.5,61.8
5769,134.5,134.5,113.6,67.5
5812,134.5,134.5,135.0,92.2
5854,134.5,134.5,144.0,125.6
5897,134.5,134.5,155.3,135.0
5939,134.5,134.5,158.0,135.0
5980,134.5,134.5,135.0,135.0
6022,134.5,134.5,135.0,135.0
6063,134.5,134.5,135.0,135.0
6104,134.5,134.5,135.0,135.0
6145,134.5,134.5,135.0,135.0
6186,134.5,134.5,135.0,135.0
6227,134.5,134.5,135.0,135.0
6267,134.5,134.5,135.0,135.0
6308,134.5,134.5,135.0,135.0
6350,134.5,134.5,135.0,135.0
